Date exercise_hours stress_level
2018-01-01 1 4
2018-01-03 2 2
2018-01-05 3 3
2018-01-07 1 2
2018-01-09 3 3
2018-01-10 1 4
2018-01-12 2 2
2018-01-15 3 3
2018-01-16 1 2
2018-01-20 3 3
2018-01-21 1 4
2018-01-23 2 2
2018-01-25 3 3
2018-01-27 1 2
2018-01-29 3 3
2018-02-02 1 4
2018-02-03 2 2
2018-02-05 3 3
2018-02-06 1 2
2018-02-09 3 3
2018-02-10 1 4
2018-02-13 2 2
2018-02-15 3 3
2018-02-17 1 2
2018-02-20 3 3
2018-02-21 1 4
2018-02-23 2 2
2018-02-25 3 3
2018-02-27 1 2
2018-02-28 3 3
2018-03-05 1 4
2018-03-06 2 2
2018-03-08 3 3
2018-03-09 1 2
2018-03-11 3 3
2018-03-13 1 4
2018-03-14 2 2
2018-03-15 3 3
2018-03-19 1 2
2018-03-23 3 3
2018-03-24 1 4
2018-03-27 2 2
2018-03-29 3 3
2018-03-30 1 2
2018-03-31 3 3
2018-04-10 2 2
2018-04-11 3 3
2018-04-15 1 2
2018-04-17 3 3
2018-04-21 3 3
