Flu Influenza Shot Sick Fever Infection Stomach Headache Antibiotics Paracetamol
80 6 0 0 1 33 8 1 0 0
98 6 1 0 2 44 24 2 0 0
112 12 1 0 3 80 67 3 0 0
170 17 2 0 4 210 97 4 5 0
221 20 2 0 5 284 195 5 10 1
221 25 3 0 6 335 204 6 12 2
269 25 4 1 7 398 210 7 14 3
343 31 4 2 8 430 235 8 20 4
396 38 5 3 9 502 272 9 25 5
475 42 5 9 9 520 289 9 26 9
506 48 6 9 9 596 299 9 30 9
603 52 6 9 9 685 377 9 32 9
622 56 6 10 9 731 429 9 32 10
696 61 6 10 9 815 437 9 34 10
725 61 7 10 9 847 491 9 39 10
731 62 8 10 9 916 512 9 39 12
761 68 9 14 9 992 551 9 41 12
798 73 10 14 9 1015 559 9 48 14
841 79 10 14 9 1084 576 9 52 14
891 81 11 14 9 1142 577 9 53 14
949 85 12 14 9 1203 635 9 53 14
1040 86 13 14 9 1243 677 9 57 14
1049 86 13 14 9 1249 751 9 60 14
1055 90 14 14 9 1261 808 9 63 14
1128 93 14 14 9 1353 891 9 68 14
1205 98 14 14 9 1394 962 9 70 14
1267 99 15 14 9 1438 1000 9 70 14
1351 104 15 14 9 1529 1079 9 74 14
1378 111 16 14 9 1568 1161 9 76 14
1382 113 16 14 9 1656 1243 9 83 14
1399 116 16 14 9 1748 1247 9 89 14
1400 121 16 14 9 1835 1277 9 93 16
1423 128 17 14 9 1866 1362 9 97 16
1453 135 18 14 9 1929 1371 9 100 16
1538 136 19 14 9 1949 1458 9 106 16
1548 142 19 14 9 1950 1469 9 109 16
1554 149 19 14 9 1958 1497 9 116 16
1645 150 20 14 9 2002 1582 9 123 16
1710 153 20 14 9 2027 1650 9 123 16
1781 158 20 14 9 2050 1725 9 129 16
1858 164 21 14 9 2107 1766 9 135 16
1952 171 21 14 9 2134 1842 9 138 16
1995 171 22 14 9 2169 1871 9 143 16
2070 177 23 14 9 2189 1894 9 143 16
2140 181 23 14 9 2214 1931 9 149 16
2232 187 24 14 9 2294 1987 9 154 16
2251 191 24 14 9 2294 2085 9 158 16
2263 197 25 14 9 2325 2093 9 158 16
2318 198 26 14 9 2325 2164 9 162 16
2370 204 26 14 9 2412 2237 9 165 16
2424 211 27 14 9 2455 2241 9 166 16
2440 214 27 14 9 2487 2285 9 167 16
2529 221 28 14 9 2518 2357 9 170 16
2536 221 29 14 9 2604 2398 9 174 16
2537 223 30 14 9 2622 2477 9 177 16
2547 226 30 14 9 2702 2501 9 180 16
2568 227 31 14 9 2747 2551 9 185 16
2616 230 31 14 9 2802 2575 9 190 16
2618 232 31 14 9 2842 2624 9 197 16
2642 237 32 14 9 2941 2646 9 202 16
2720 237 32 14 9 3037 2744 9 209 16
2721 244 33 14 9 3131 2840 9 215 16
2781 249 34 14 9 3138 2924 9 218 16
2862 250 34 14 9 3235 3016 9 225 16
2886 251 35 14 9 3241 3057 9 225 16
2982 255 35 14 9 3337 3108 9 232 16
3060 255 36 14 9 3337 3125 9 235 16
3085 258 36 14 9 3360 3180 9 235 16
3173 264 37 14 9 3419 3231 9 237 16
3259 270 38 14 9 3515 3292 9 237 16
3322 277 38 14 9 3568 3337 9 241 16
3413 277 39 14 9 3629 3395 9 248 16
3488 282 40 14 9 3701 3403 9 250 16
3494 286 40 14 9 3768 3475 9 256 16
3555 288 40 14 9 3790 3535 9 262 16
3568 290 41 14 9 3831 3574 9 268 16
