LongueurMoy LongueurEcartType NbSyllabesMoy ProportionAvecChiffres ProportionAvecPonctuation NbMotMoy ProportionCommenceParVoyelle ProportionFiniParVoyelle ProportionExpire NbPaysMoy ProportionFeminin ProportionMasculin ProportionNeutre
7.9225 3.0652 2.9304 0.0099 0.006 1.1968 0.173 0.173 0.9225 0.0099 0.6282 0.2922 0.0795
7.7014 3.1294 2.8054 0.0045 0.0136 1.1991 0.2217 0.2217 0.9321 0.1222 0.6425 0.3077 0.0498
9.1941 5.3763 3.2357 0.0208 0.0104 1.4697 0.1612 0.1612 0.9324 0.0607 0.6603 0.2946 0.0451
8 3.6914 2.7757 0 0.0187 1.3271 0.1776 0.1776 0.9439 0.2523 0.6542 0.3178 0.028
8.7661 3.8123 5.1506 0.0104 0.0057 1.1818 0.1619 0.1619 0.9167 0.0256 0.6837 0.2727 0.0436
7.3273 3.0407 2.6109 0.0182 0.0036 1.1891 0.2218 0.2218 0.8691 0.0255 0.6255 0.2873 0.0873
7.9286 5.3319 2.7589 0 0.0149 1.25 0.1845 0.1845 0.8482 0.0417 0.6399 0.2798 0.0804
7.5461 3.9509 2.6312 0 0.0142 1.2411 0.1844 0.1844 0.8652 0.0993 0.6667 0.234 0.0993
8.6293 5.304 5.3547 0.0069 0.0206 1.2998 0.1716 0.1716 0.881 0.0114 0.6064 0.3227 0.0709
8.8041 5.4879 3.1149 0 0.0068 1.3716 0.1757 0.1757 0.9122 0.2838 0.6689 0.2635 0.0676
8.7489 6.0305 2.9745 0 0.017 1.3021 0.1617 0.1617 0.8511 0.0298 0.6426 0.2723 0.0851
8.4602 4.7132 2.9659 0.0227 0.0057 1.3466 0.2443 0.2443 0.8807 0.0455 0.6705 0.267 0.0625
6.2593 2.7297 2.2222 0 0 1.1852 0.2593 0.2593 0.8148 0.5556 0.5185 0.2963 0.1852
8.8447 6.6679 3.1165 0.0097 0.0388 1.4175 0.1553 0.1553 0.9126 0.1165 0.7282 0.2136 0.0583
7.5938 4.2636 2.5625 0.0313 0 1.3125 0.1563 0.1563 0.8438 0.625 0.4688 0.4063 0.125
9.0258 5.2963 3.1677 0.0129 0.0065 1.4097 0.2355 0.2355 0.9 0.0419 0.5968 0.3387 0.0645
7.4909 2.9194 2.6591 0.0091 0 1.1591 0.1909 0.1909 0.8818 0.0636 0.5909 0.35 0.0591
8.0638 5.1711 2.6915 0.0106 0.0106 1.4255 0.0957 0.0957 0.9255 0.0745 0.5745 0.3298 0.0957
7.5104 2.9368 2.7448 0.0052 0.0104 1.1458 0.2083 0.2083 0.8958 0.0469 0.5781 0.3229 0.099
7.8597 3.4541 2.7738 0.0045 0.009 1.2489 0.2308 0.2308 0.9186 0.0407 0.6833 0.2579 0.0588
8.6488 5.6511 2.9073 0.0098 0.0244 1.4098 0.1659 0.1659 0.8829 0.0537 0.6537 0.2683 0.078
8.4773 4.2265 2.75 0 0.0227 1.3523 0.1136 0.1136 0.8977 0.0341 0.5568 0.3295 0.1136
8.625 5.7214 2.8333 0.0104 0.0208 1.4583 0.1875 0.1875 0.9375 0.2604 0.6771 0.2813 0.0417
8.5352 4.1785 2.8263 0.0047 0.0094 1.3944 0.1268 0.1268 0.9296 0.061 0.6432 0.2911 0.0657
9.2651 5.4703 5.9539 0.0173 0.0144 1.5793 0.1412 0.1412 0.9078 0.0375 0.634 0.3084 0.0576
7.7105 2.533 2.4474 0 0.0132 1.3289 0.1447 0.1447 0.9474 0.1184 0.5263 0.4211 0.0526
7.6308 3.6229 2.6923 0 0 1.2923 0.2462 0.2462 0.8462 0.0308 0.4923 0.4462 0.0615
8.6179 5.6633 2.8537 0.0081 0.0244 1.5122 0.1789 0.1789 0.8455 0.1057 0.6341 0.3008 0.065
8.322 4.2096 2.904 0.0028 0.0169 1.3785 0.1243 0.1243 0.9096 0.1045 0.6723 0.2768 0.0508
8.5731 5.4839 2.9884 0.0046 0.0093 1.4014 0.109 0.109 0.8886 0.0348 0.6705 0.2784 0.051
8.7729 5.2576 3.0306 0.0131 0.0087 1.4498 0.1441 0.1441 0.8559 0.1179 0.6856 0.2489 0.0655
8.8738 6.3156 2.932 0.0097 0.0097 1.4369 0.1359 0.1359 0.8689 0.0728 0.6942 0.2476 0.0583
11.726 7.0612 8.3607 0.0137 0.0274 1.9041 0.105 0.105 0.8174 0.0685 0.6986 0.2648 0.0365
8.964 5.3016 3 0.0144 0.0144 1.5252 0.1367 0.1367 0.8345 0.1007 0.5971 0.295 0.1079
9.8627 5.5414 3.451 0.0392 0.0196 1.6275 0.3922 0.3922 0.902 0.1765 0.6863 0.2549 0.0588
10.2593 4.1239 3.5926 0 0 1.2963 0.5185 0.5185 0.8889 0.5556 0.5556 0.4074 0.037
7.6667 3.0777 2.8125 0.0625 0.0208 1.3958 0.3125 0.3125 0.9167 0.3125 0.4583 0.375 0.1667
8.3704 4.3559 2.8519 0.0741 0.0741 1.5185 0.3333 0.3333 0.7778 0.3333 0.3704 0.5556 0.0741
8.8846 3.796 2.9615 0 0 1.3462 0.2308 0.2308 0.8077 0.5769 0.4615 0.4615 0.0769
8.1622 3.5146 2.973 0.0541 0 1.2973 0.2162 0.2162 0.8649 0.4054 0.5946 0.3243 0.0811
11.8696 6.5196 4.087 0.0435 0 2.1087 0.3696 0.3696 0.8478 0.1957 0.6304 0.3261 0.0435
10.1972 5.1911 3.4225 0.0141 0.0141 1.662 0.2535 0.2535 0.8732 0.1408 0.5775 0.338 0.0845
12.5 5.5 4 0 0 2.5 0.5 0.5 1 0 1 0 0
8 0 4 0 0 1 0 0 1 0 0 1 0
0 0 0 0 0 0 0 0 0 0 0 0 0
