nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dep_3_p,i1_dep_3_e,i1_dep_3_place,i1_rcf_3_p,i1_rcf_3_e,i1_rcf_3_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dep_3_p,i2_dep_3_e,i2_dep_3_place,i2_rcf_3_p,i2_rcf_3_e,i2_rcf_3_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dep_2_p,i3_dep_2_e,i3_dep_2_place,i3_rcf_2_p,i3_rcf_2_e,i3_rcf_2_place,i3_dep_3_p,i3_dep_3_e,i3_dep_3_place,i3_rcf_3_p,i3_rcf_3_e,i3_rcf_3_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dep_3_p,o_dep_3_e,o_dep_3_place,o_rcf_3_p,o_rcf_3_e,o_rcf_3_place,o_dlv_p,o_dlv_e,o_hops,legs
0,5182,199,218,210,215,609,935,736,256,0,0,0,0,0,0,0,0,0,0,0,0,840,1539,1,573,3315,2880,300,696,431,1965,515,256,0,0,0,0,0,0,0,0,0,0,0,0,2760,1280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10121,9919,7559,240,2865,256,1330,1265,411,0,0,0,0,0,0,0,0,0,0,0,0,780,434,1,2
1,6523,844,584,90,297,700,1935,1415,431,0,0,0,0,0,0,0,0,0,0,0,0,3780,5790,1,13946,2964,2888,180,239,257,970,756,149,160,331,149,1080,1142,431,0,0,0,0,0,0,7020,6628,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,3030,3016,300,286,431,835,526,256,0,0,0,0,0,0,0,0,0,0,0,0,3870,445,1,2
2,5878,4380,4119,90,280,456,905,547,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12691,1433,642,240,969,700,1200,1280,349,0,0,0,0,0,0,0,0,0,0,0,0,550,1520,1,1
3,1275,759,169,240,777,173,340,577,349,1340,1109,349,1240,820,671,0,0,0,0,0,0,335,535,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12932,3963,3176,90,883,671,815,956,700,0,0,0,0,0,0,0,0,0,0,0,0,3780,159,1,1
4,8117,1597,1485,150,241,411,585,612,128,340,289,128,130,135,166,0,0,0,0,0,0,4230,1255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12805,152,179,180,131,166,230,167,128,810,872,128,740,346,411,0,0,0,0,0,0,4140,4797,2,1
5,9889,181,98,240,259,815,215,223,128,0,0,0,0,0,0,0,0,0,0,0,0,4890,115,1,9915,59,59,525,1934,128,3615,2270,128,0,0,0,0,0,0,0,0,0,0,0,0,3960,21025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6430,136,29,240,308,128,960,682,597,0,0,0,0,0,0,0,0,0,0,0,0,3960,467,1,2
6,3997,1300,212,240,1267,815,270,135,391,0,0,0,0,0,0,0,0,0,0,0,0,5070,2161,1,9805,252,33,240,399,815,275,164,391,0,0,0,0,0,0,0,0,0,0,0,0,5070,727,1,571,250,153,150,181,610,525,181,281,415,764,281,80,108,391,0,0,0,0,0,0,2880,1258,2,2544,329,81,570,763,391,80,79,281,0,0,0,0,0,0,0,0,0,0,0,0,2880,151,1,3
7,7125,139,87,240,232,783,255,154,815,460,563,815,215,182,128,0,0,0,0,0,0,4890,374,2,10590,303,110,240,371,815,215,143,128,0,0,0,0,0,0,0,0,0,0,0,0,4890,919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6753,119,19,240,298,128,960,678,597,0,0,0,0,0,0,0,0,0,0,0,0,3960,161,1,2
8,10481,387,68,240,514,815,285,219,485,0,0,0,0,0,0,0,0,0,0,0,0,5160,1170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5570,933,1074,180,677,485,885,695,149,0,0,0,0,0,0,0,0,0,0,0,0,6680,2830,1,1
9,3212,6145,6013,300,385,690,810,635,555,0,0,0,0,0,0,0,0,0,0,0,0,1560,672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13468,495,336,300,481,555,820,625,356,0,0,0,0,0,0,0,0,0,0,0,0,3960,218,1,1
