surgery,age,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,surgical_lesion,site_of_lesion,type_of_lesion,subtype_of_lesion,code_of_lesion,outcome
2,1,38.5,66,28,3,3,-100000,2,5,4,4,-100000,-100000,-100000,3,5,45.0,8.4,-100000,-100000,2,11,3,0,0,2
1,1,39.2,88,20,-100000,-100000,4,1,3,4,2,-100000,-100000,-100000,4,2,50.0,85.0,2,2.0,2,2,2,0,8,3
2,1,38.3,40,24,1,1,3,1,3,3,1,-100000,-100000,-100000,1,1,33.0,6.7,-100000,-100000,2,0,0,0,0,1
1,2,39.1,164,84,4,1,6,2,2,4,4,1,2,5.0,3,-100000,48.0,7.2,3,5.3,1,2,2,0,8,2
2,1,37.3,104,35,-100000,-100000,6,2,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,74.0,7.4,-100000,-100000,2,4,3,0,0,2
2,1,-100000,-100000,-100000,2,1,3,1,2,3,2,2,1,-100000,3,3,-100000,-100000,-100000,-100000,2,0,0,0,0,1
1,1,37.9,48,16,1,1,1,1,3,3,3,1,1,-100000,3,5,37.0,7.0,-100000,-100000,1,3,1,2,4,1
1,1,-100000,60,-100000,3,-100000,-100000,1,-100000,4,2,2,1,-100000,3,4,44.0,8.3,-100000,-100000,1,2,2,0,8,2
2,1,-100000,80,36,3,4,3,1,4,4,4,2,1,-100000,3,5,38.0,6.2,-100000,-100000,1,3,2,0,5,3
2,2,38.3,90,-100000,1,-100000,1,1,5,3,1,2,1,-100000,3,-100000,40.0,6.2,1,2.2,2,0,0,0,0,1
1,1,38.1,66,12,3,3,5,1,3,3,1,2,1,3.0,2,5,44.0,6.0,2,3.6,1,2,1,2,4,1
2,1,39.1,72,52,2,-100000,2,1,2,1,2,1,1,-100000,4,4,50.0,7.8,-100000,-100000,1,2,1,1,1,1
1,1,37.2,42,12,2,1,1,1,3,3,3,3,1,-100000,4,5,-100000,7.0,-100000,-100000,2,4,1,2,4,1
2,2,38.0,92,28,1,1,2,1,1,3,2,3,-100000,7.2,1,1,37.0,6.1,1,-100000,2,0,0,0,0,2
1,1,38.2,76,28,3,1,1,1,3,4,1,2,2,-100000,4,4,46.0,81.0,1,2.0,1,2,1,1,2,1
1,1,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4,-100000,45.0,6.8,-100000,-100000,1,3,2,0,7,2
