Date rain(mm) temperature(cel)
1-2013 45.4013 25.2206
2-2013 22.9427 26.3958
3-2013 153.986 27.4341
4-2013 149.26 24.6741
5-2013 69.8086 25.7978
6-2013 27.181 23.214
7-2013 27.0799 23.8115
8-2013 58.4273 23.5112
9-2013 46.3291 25.3242
10-2013 44.4752 24.9766
11-2013 86.8101 25.5144
12-2013 66.1564 25.5392
1-2015 27.6448 25.037
2-2015 24.5305 25.8811
3-2015 53.4039 25.9173
4-2015 145.944 26.4535
5-2015 98.0513 25.0145
6-2015 49.9997 24.5622
7-2015 28.0156 24.2829
8-2015 26.0428 24.2959
9-2015 37.6938 25.2014
10-2015 72.3612 27.0425
11-2015 153.212 25.1404
12-2015 69.9374 26.5248
