A T N Solutions Winners Runtime
92 20 20 254 152 0.4248
92 20 20 224 173 0.4323
92 20 20 138 111 0.3925
92 20 40 410 320 0.7839
92 20 40 338 282 0.7249
92 20 40 486 348 0.7567
92 20 60 625 463 1.0581
92 20 60 664 394 1.0516
92 20 60 388 262 0.9338
92 20 80 908 702 1.5749
92 20 80 371 314 1.2342
92 20 80 970 522 1.4612
92 20 100 1097 623 1.8339
92 20 100 604 426 1.5489
92 20 100 1250 765 1.9921
92 40 20 375 249 0.7070
92 40 20 381 283 0.7268
92 40 20 266 157 0.6442
92 40 40 830 457 1.4281
92 40 40 435 311 1.2478
92 40 40 823 533 1.4214
92 40 60 970 718 2.0837
92 40 60 633 494 1.8761
92 40 60 1125 784 2.2380
92 40 80 1723 1018 3.0501
92 40 80 1430 831 2.8285
92 40 80 856 622 2.6511
92 40 100 996 836 3.1753
92 40 100 2001 1148 3.6805
92 40 100 1461 926 3.2740
92 60 20 280 192 0.9143
92 60 20 170 126 0.8804
92 60 20 462 268 0.9511
92 60 40 562 341 1.8175
92 60 40 669 416 1.8518
92 60 40 832 520 2.0409
92 60 60 1634 1209 3.4238
92 60 60 1630 878 3.1926
92 60 60 1087 846 2.9016
92 60 80 1250 767 3.6959
92 60 80 2406 1704 4.9514
92 60 80 2018 1587 4.6628
92 60 100 1382 944 4.4107
92 60 100 1618 1347 4.9355
92 60 100 2534 1549 5.7159
92 80 20 186 158 1.1463
92 80 20 199 166 1.1363
92 80 20 358 279 1.1565
92 80 40 655 513 2.3349
92 80 40 391 342
92 80 40 932 543
92 80 60 645 497
92 80 60 940 655
92 80 60 1406 1114
92 80 80 2433 1713
92 80 80 1101 807
92 80 80 1251 982
92 80 100 1923 1265
92 80 100 3168 2245
92 80 100 1523 1077
92 100 20 413 299
92 100 20 356 234
92 100 20 337 220
92 100 40 1035 861
92 100 40 908 735
92 100 40 1659 1076
92 100 60 1838 1079
92 100 60 1261 1071
92 100 60 1807 1427
92 100 80 1262 842
92 100 80 662 519
92 100 80 1836 1561
92 100 100 1154 836
92 100 100 2908 1806
92 100 100 1598 1116
92 92 92 1062 846
92 92 92 2613 1666
92 92 92 3699 2662
