T N Solutions Winners Runtime
20 20 205.33 145.33 0.42
20 40 411.33 316.67 0.76
20 60 559.00 373.00 1.01
20 80 749.67 512.67 1.42
20 100 983.67 604.67 1.79
40 20 340.67 229.67 0.69
40 40 696.00 433.67 1.37
40 60 909.33 665.33 2.07
40 80 1336.33 823.67 2.84
40 100 1486.00 970.00 3.38
60 20 304.00 195.33 0.92
60 40 687.67 425.67 1.90
60 60 1450.33 977.67 3.17
60 80 1891.33 1352.67 4.44
60 100 1844.67 1280.00 5.02
80 20 247.67 201.00 1.15
80 40 659.33 466.00 2.33
80 60 997.00 755.33 3.48
80 80 1595.00 1167.33 5.06
80 100 2204.67 1529.00 6.82
92 92 2458.00 1724.67 7.59
100 20 368.67 251.00 1.46
100 40 1200.67 890.67 3.13
100 60 1635.33 1192.33 4.82
100 80 1253.33 974.00 5.77
100 100 1886.67 1252.67 7.45
