A T N Solutions Winners Runtime
91 20 20 254 152 0.4248
91 20 20 224 173 0.4323
91 20 20 138 111 0.3925
91 20 40 410 320 0.7839
91 20 40 338 282 0.7249
91 20 40 486 348 0.7567
91 20 60 625 463 1.0581
91 20 60 664 394 1.0516
91 20 60 388 262 0.9338
91 20 80 908 702 1.5749
91 20 80 371 314 1.2342
91 20 80 970 522 1.4612
91 20 100 1097 623 1.8339
91 20 100 604 426 1.5489
91 20 100 1250 765 1.9921
91 40 20 375 249 0.7070
91 40 20 381 283 0.7268
91 40 20 266 157 0.6442
91 40 40 830 457 1.4281
91 40 40 435 311 1.2478
91 40 40 823 533 1.4214
91 40 60 970 718 2.0837
91 40 60 633 494 1.8761
91 40 60 1125 784 2.2380
91 40 80 1723 1018 3.0501
91 40 80 1430 831 2.8285
91 40 80 856 622 2.6511
91 40 100 996 836 3.1753
91 40 100 2001 1148 3.6805
91 40 100 1461 926 3.2740
91 60 20 280 192 0.9143
91 60 20 170 126 0.8804
91 60 20 462 268 0.9511
91 60 40 562 341 1.8175
91 60 40 669 416 1.8518
91 60 40 832 520 2.0409
91 60 60 1634 1209 3.4238
91 60 60 1630 878 3.1926
91 60 60 1087 846 2.9016
91 60 80 1250 767 3.6959
91 60 80 2406 1704 4.9514
91 60 80 2018 1587 4.6628
91 60 100 1382 944 4.4107
91 60 100 1618 1347 4.9355
91 60 100 2534 1549 5.7159
91 80 20 186 158 1.1463
91 80 20 199 166 1.1363
91 80 20 358 279 1.1565
91 80 40 655 513 2.3349
91 80 40 391 342 2.2317
91 80 40 932 543 2.4223
91 80 60 645 497 3.2789
91 80 60 940 655 3.3510
91 80 60 1406 1114 3.8066
91 80 80 2433 1713 6.0557
91 80 80 1101 807 4.5199
91 80 80 1251 982 4.6148
91 80 100 1923 1265 6.3791
91 80 100 3168 2245 8.2194
91 80 100 1523 1077 5.8628
91 100 20 413 299 1.5090
91 100 20 356 234 1.4071
91 100 20 337 220 1.4524
91 100 40 1035 861 2.9852
91 100 40 908 735 2.9343
91 100 40 1659 1076 3.4756
91 100 60 1838 1079 4.8670
91 100 60 1261 1071 4.5610
91 100 60 1807 1427 5.0431
91 100 80 1262 842 5.8201
91 100 80 662 519 5.0805
91 100 80 1836 1561 6.4108
91 100 100 1154 836 6.7688
91 100 100 2908 1806 8.6777
91 100 100 1598 1116 6.9128
91 91 91 1062 846 6.0360
91 91 91 2613 1666 7.1918
91 91 91 3699 2662 9.5313
